ccaa,year,item,points,obligatory,ctx,app,explain,graph,draw,evaluate,note
cat,2025,1,2.5,1,1,1,1,0,0,0,"ISS toolbox/deorbit narrative; standard v_orb, n orbits, E_mec + justify sign, E_k at impact; real object but no decision"
cat,2025,2A,2.5,0,1,0,1,0,1,0,"Millikan experiment (physics, not application); draw setup+forces, reason plate signs and field direction, what if drop loses an electron"
cat,2025,2B,2.5,0,0,0,1,0,1,0,"Sliding bar circuit; indicate+justify induced current direction; draw force on figure"
cat,2025,3A,2.5,0,2,0,1,1,1,0,"Art-exhibition coin in polycarbonate block: observation 'second person cannot see coin' must be interpreted (TIR); block depth read from figure; ray sketch; justify inverted media"
cat,2025,3B,2.5,0,1,1,0,0,1,0,"Transverse flute (instrument = application); standard harmonics, draw modes"
cat,2025,4,2.5,1,2,1,1,0,0,0,"Na-24 injected in patient, blood-volume dilution drives part b; reason e-/e+ emission"
cat,2026,1A,2.5,0,1,1,1,0,0,0,"Generalitat nanosatellite at 500 km; standard T, dE_p, E_mec; 'closed orbit? justify'"
cat,2026,1B,2.5,0,2,0,1,0,1,1,"Halley comet history: draw ellipse, a and T, then judge whether Halley (1656-1742) could have seen it twice; reason where v max"
cat,2026,2,2.5,1,1,1,0,0,1,0,"X-ray tube (medical/tech device); standard E, F, E_k, photon; draw E and F on figure"
cat,2026,3,2.5,1,1,1,0,0,0,0,"Phone vibration motor; SHM eq, wave eq, dB level; no reasoning"
cat,2026,4A,2.5,0,2,1,0,0,0,1,"Chernobyl Cs-137: safe-return threshold 3.7e4 Bq/m2 drives 'which year'; reaction + % remaining; no verbal justification asked"
cat,2026,4B,2.5,0,0,0,1,0,0,0,"Photoelectric cell; 'justify results' for green/red light (no emission for red)"
mad,2025,1,2.5,1,1,0,0,0,0,0,"Dwarf planet Eris: mass, g, E_mec of ellipse, v perihelion; pure calc"
mad,2025,2A,2.5,0,0,0,0,0,0,0,"Electron-positron field and max separation"
mad,2025,2B,2.5,0,0,0,0,0,0,0,"Rotating loop / time-varying B, max current; figure only shows B into page"
mad,2025,3A,2.5,0,1,1,0,0,0,0,"Whale sound detected by ship sonar; depth, power, dB at B"
mad,2025,3B,2.5,0,0,0,1,0,1,0,"Lens magnification proof; reason if diverging lens can invert; draw ray tracing"
mad,2025,4A,2.5,0,1,1,0,0,0,0,"Ozone UV absorption (environmental/health); energy gap, power on body, energy in 30 min"
mad,2025,4B,2.5,0,1,1,0,0,0,0,"Al-26 burial dating of quartz (geochronology application); activity and age"
mad,2026,1,2.5,1,0,0,0,0,0,0,"Plates with measured potential; V(x)=-3x given in text so graph not needed; E, a, v"
mad,2026,2A,2.5,0,0,1,0,0,0,0,"Generic communications satellite (application named, no real object); r, v, orbits/day, v_esc"
mad,2026,2B,2.5,0,0,0,0,0,0,0,"Two point masses; null-field point and field at (0,2)"
mad,2026,3A,2.5,0,0,0,0,1,0,0,"Wave parameters read from two graphs (y(x,0), v(0,t))"
mad,2026,3B,2.5,0,0,0,0,0,0,0,"Light through slab; figure shows geometry, data in text"
mad,2026,4A,2.5,0,0,0,0,0,0,0,"Silver photoelectric: h and W from two stopping potentials"
mad,2026,4B,2.5,0,0,0,0,0,0,0,"Ra-228 decay: particles/s, lambda, T, mass transformed"
ast,2025,1,2,0,0,0,1,0,1,0,"Two masses: sketch, g, V, work; justify sign and path independence"
ast,2025,2,2,0,1,1,0,0,0,0,"Meteosat 12 (named real satellite); T, v, escape energy"
ast,2025,3,2,0,0,0,1,0,0,0,"Two charges; justify whether work by or against field"
ast,2025,4,2,0,0,0,1,0,1,0,"Parallel wires; reason if B can cancel between wires; justify current sense with sketch"
ast,2025,5,2,0,1,1,1,0,1,0,"Wildlife-observation centre spotting scope (concave mirror); ray tracing + image characteristics; size"
ast,2025,6,2,0,1,0,1,0,0,0,"Station master at Campomanes, Doppler; justify higher/lower frequency, compare echo for observers (qualitative)"
ast,2025,7,2,0,1,0,0,0,0,0,"Nuclear materials lab with Geiger counter; T1/2, mass, mean life; pure calc"
ast,2025,8,2,0,0,0,0,0,0,0,"Relativistic proton E=3E0: E0, v, E_k"
ast,2026,1,2,0,1,0,0,0,0,0,"Melon weighed on Jupiter; g_J and M_J"
ast,2026,2,2,0,1,0,1,0,0,0,"Two pumpkins and an apple; field, work; reason if displacement spontaneous"
ast,2026,3,2,0,0,0,0,0,0,0,"Electric dipole field and potential at P"
ast,2026,4,2,0,0,0,0,0,0,0,"Alpha particle in B: B vector for clockwise circle; electron radius and sense (calc/vector)"
ast,2026,5,2,0,1,0,0,0,0,0,"Kayak at Cudillero beach; wave speed and wave equation"
ast,2026,6,2,0,1,0,1,0,1,0,"Porcelain figurine in concave mirror; ray tracing + real/virtual etc.; position and size"
ast,2026,7,2,0,1,1,0,0,0,0,"Electron-diffraction lab to characterise a material; v of electrons, de Broglie of 5e-15 kg particle"
ast,2026,8,2,0,1,0,0,0,0,0,"U-238 in a rock; lambda, time to 1/3 activity"
and,2025,A.a,1,1,0,0,1,0,0,0,"Reason truth of two statements on g field / potential"
and,2025,A.b1,1.5,0,1,0,0,0,1,0,"Flight attendant drags suitcase; force sketch; work of each force ('calcule razonadamente' = calc)"
and,2025,A.b2,1.5,0,1,1,0,0,0,0,"1960s satellite at 1.6e4 km; E_p, v, E"
and,2025,B.a,1,1,0,0,0,0,0,0,"Deduce radius expression and ratio of periods (derivation)"
and,2025,B.b1,1.5,0,0,0,1,0,1,0,"Moving side of loop (figure); fem, I, reasoned sense of induced current; draw induced field"
and,2025,B.b2,1.5,0,0,0,1,0,0,0,"Two charges: V at C, D; work C->D; interpret sign of work"
and,2025,C.a,1,1,0,0,1,0,1,0,"Which lens gives virtual enlarged image; justify with ray tracing"
and,2025,C.b1,1.5,0,0,0,0,0,0,0,"String wave equation, phase difference, distance in opposition"
and,2025,C.b2,1.5,0,0,0,0,0,1,0,"Air-oil-water refraction; sketch path, angles, v in water"
and,2025,D.a,1,1,0,0,0,0,0,0,"Deduce v_max from stopping potential and ratio if halved (derivation)"
and,2025,D.b1,1.5,0,1,0,0,0,0,0,"Research project on 10B fission; write reaction, energy released"
and,2025,D.b2,1.5,0,0,0,1,0,0,0,"Proton/electron same E_k: de Broglie, stopping potential; justify whether potential must rise or fall"
and,2026,A.a,1,1,0,0,1,0,0,0,"Reason truth of statements on mechanical energy conservation"
and,2026,A.b,1.5,1,1,0,0,0,1,0,"Child on slide with friction; force sketch; W_friction, E_k, v"
and,2026,B.a1,1,0,0,0,1,0,0,0,"True/false on magnetic flux and induced fem, reasoned"
and,2026,B.a2,1,0,0,0,1,0,0,0,"Two identical charges: v expression; indicate how v changes if charges doubled (qualitative)"
and,2026,B.b1,1.5,0,1,1,1,0,0,0,"Wind-farm generator loop at Strait of Gibraltar; flux(t), fem(t), I(t); 'DC or AC?'"
and,2026,B.b2,1.5,0,0,0,1,0,0,0,"Electron launched at -5 uC charge; stopping distance; force magnitude and attractive/repulsive character"
and,2026,C.a1,1,0,0,0,1,0,1,0,"Diverging lens ray tracing; reasoned image characteristics"
and,2026,C.a2,1,0,0,0,0,0,0,0,"Wave changes medium, lambda halves: derive ratios of v and v_max (derivation)"
and,2026,C.b1,1.5,0,0,0,0,0,1,0,"Project 0.2 mm object on screen 28 cm away, lens 3.8 cm from object; sketch; f and image size"
and,2026,C.b2,1.5,0,1,1,1,0,0,0,"Guitar string standing wave; 'indicate wave type'; amplitude, v; oscillation velocity at x=10 cm, reasoned"
and,2026,D.a1,1,0,0,0,1,0,0,0,"Photoelectric qualitative: red light? higher intensity?"
and,2026,D.a2,1,0,0,0,1,0,0,0,"Proton vs K meson: reason which has lower v / lower lambda"
and,2026,D.b1,1.5,0,0,0,1,0,0,0,"Copper photocell two frequencies: which produces effect (reasoned), v_max"
and,2026,D.b2,1.5,0,0,0,0,0,0,0,"Proton and electron through 0.075 V: E_k and de Broglie"
can,2025,1,1,0,0,0,0,0,0,0,"Acceleration at 400 km altitude"
can,2025,2,1.5,0,0,0,0,0,0,0,"Prove E_total = E_p/2 for circular orbit (derivation)"
can,2025,3,2.5,0,0,0,0,0,0,0,"Two masses: V at C; force on 1 kg at origin and work to infinity"
can,2025,4,2.5,0,0,0,0,0,0,0,"Dipole: force on q0; work A->B"
can,2025,5,1.25,0,0,0,0,0,0,0,"Two parallel wires: B vector at a point"
can,2025,6,1.25,0,0,0,0,0,0,0,"Alpha particles accelerated by 1 kV in B=0.2 T: radius"
can,2025,7,2.5,0,0,0,0,0,0,0,"SHM: amplitude, phase, x(t), v(t)"
can,2025,8,2.5,0,1,1,0,0,1,0,"Slide projector: image 50 cm on screen at 3 m (spec given as data, standard lens calc); ray diagram; distance; power"
can,2025,9,1.25,0,0,0,1,0,0,0,"Binding energy of 3H and 3He; which is more stable"
can,2025,10,1.25,0,0,0,0,0,0,0,"de Broglie ratio for particles with same E_k, mass ratio 2000"
can,2025,11,2.5,0,0,0,0,0,0,0,"Aluminium photoelectric: E_k, V_stop, threshold lambda"
can,2026,1a,1.5,1,0,1,0,0,0,0,"Generic 50 kg microsatellite with T=5710 s; altitude and energy to orbit"
can,2026,1b1,1,0,0,1,0,0,0,0,"Same microsatellite: v, a_c, E_k, E_total"
can,2026,1b2,1,0,0,1,0,0,0,0,"Same microsatellite: energy to double the orbital radius"
can,2026,2,1.5,1,0,0,0,0,0,0,"Two antiparallel wires: B at A and B"
can,2026,3,1.5,0,0,0,0,0,0,0,"Lab with two charges: find charges giving E=5e4 i at (1,0)"
can,2026,4,1.5,0,0,0,0,0,1,0,"Electron in B=0.75 j: acceleration vector; draw trajectory and vectors"
can,2026,5a,1.5,0,0,0,0,0,0,0,"3 uW point source: distance to hearing threshold, dB there"
can,2026,5b,1.5,0,0,0,0,0,0,0,"3 uW point source: distance for 30 dB, intensity"
can,2026,6,1.5,0,0,0,1,0,0,0,"Spring SHM: k, T, v(t), a(t), max values; E_k/E_p at equilibrium and extremes, 'justify the expressions used' (borderline)"
can,2026,7,1.5,0,0,0,1,0,0,0,"Refraction n=1.77: v and lambda; critical angle and indicate from which medium light must come"
can,2026,8,1.5,0,1,1,0,0,0,0,"Dust sample after calima with Cs-137 from tests 60 years ago (environmental); N and mass from activity; the 60 years is not used"
can,2026,9,1.5,0,0,0,0,0,0,0,"Metal plate 400 nm, V_stop 1 V: f, E, threshold f"
ext,2025,1,2.5,1,1,1,0,0,0,0,"Fictional ESA space-debris mission of two Extremadura students; g field of two 120 kg people, work to infinity, weight on Moon; 'towards where is the field' is a direction, not a justification"
ext,2025,2,2.5,0,0,0,1,0,0,0,"Electron accelerated then E x B region; reason how B must change for a proton"
ext,2025,3,2.5,0,0,0,1,1,0,0,"Figure with three trajectories in B: sign of charges from figure; which is fastest, reasoned"
ext,2025,4,2.5,0,1,0,0,0,0,0,"Train approaching station ('your city'); Doppler f approaching / receding; order the three frequencies"
ext,2025,5,2.5,0,0,0,1,1,0,0,"Given ray diagram of converging lens: describe image characteristics; s', f, P from figure with |M|=2"
ext,2025,6,2.5,0,0,0,0,0,0,0,"Photoelectric: E_photon, E_k, f_threshold, V_stop"
ext,2025,7,2.5,0,0,0,1,0,0,0,"Four fundamental forces; reason whether Standard Model covers them"
ext,2026,1,2.5,1,1,1,0,0,0,0,"Artemis II / Orion at 400 km (real named mission); F_g, escape energy, v_orb"
ext,2026,2,2.5,0,0,0,0,0,1,0,"Two charges: sketch fields at P; force on q0; external work from infinity"
ext,2026,3,2.5,0,0,0,1,0,0,0,"Lab velocity selector: force and reasoned deflection direction; radius; condition for straight line"
ext,2026,4,2.5,0,0,0,0,0,0,0,"Block-spring: T, f, k, A, x(t), v_max, a_max"
